<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TATN,D,10/03/20,000000,530.0000000
TATN,D,11/03/20,000000,527.7000000
TATN,D,12/03/20,000000,469.8000000
TATN,D,13/03/20,000000,458.7000000
TATN,D,16/03/20,000000,442.3000000
TATN,D,17/03/20,000000,422.1000000
TATN,D,18/03/20,000000,385.0000000
TATN,D,19/03/20,000000,455.9000000
TATN,D,20/03/20,000000,515.6000000
TATN,D,23/03/20,000000,505.1000000
