<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BANE,D,06/03/20,000000,1848.0000000
BANE,D,10/03/20,000000,1744.5000000
BANE,D,11/03/20,000000,1686.0000000
BANE,D,12/03/20,000000,1531.0000000
BANE,D,13/03/20,000000,1511.5000000
BANE,D,16/03/20,000000,1418.0000000
BANE,D,17/03/20,000000,1356.0000000
BANE,D,18/03/20,000000,1240.0000000
BANE,D,19/03/20,000000,1314.0000000
BANE,D,20/03/20,000000,1504.5000000
BANE,D,23/03/20,000000,1497.5000000
